00:00:00.005201 main     VirtualBox XPCOM Server 7.2.4 r170995 linux.amd64 (Oct 22 2025 16:59:14) release log
00:00:00.005207 main     Log opened 2025-11-12T09:37:23.673188000Z
00:00:00.005208 main     Build Type: release
00:00:00.005212 main     OS Product: Linux
00:00:00.005214 main     OS Release: 6.17.4-arch2-1
00:00:00.005215 main     OS Version: #1 SMP PREEMPT_DYNAMIC Sun, 19 Oct 2025 19:21:18 +0000
00:00:00.005269 main     DMI Product Name: HP Notebook
00:00:00.005287 main     DMI Product Version: Type1ProductConfigId
00:00:00.005297 main     Firmware type: UEFI
00:00:00.005695 main     Secure Boot: Disabled
00:00:00.005843 main     Host RAM: 10892MB (10.6GB) total, 10024MB (9.7GB) available
00:00:00.005849 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.005850 main     Process ID: 1671
00:00:00.005851 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.018704 main     IPC socket path: /tmp/.vbox-cl4rksec-ipc/ipcd
00:00:00.038165 DCon01   VirtualBox: object creation starts
00:00:00.039834 DCon01   Home directory: '/home/cl4rksec/.config/VirtualBox'
00:00:00.041062 DCon01   Loading settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.049314 DCon01   Successfully initialised host USB using sysfs
00:00:00.077274 DCon01   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link status for wlo1: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.082537 DCon01   HostDnsMonitor: initializing
00:00:00.082970 DCon01   NAT: resolv.conf: nameserver 187.86.167.47
00:00:00.082982 DCon01   NAT: resolv.conf: nameserver 8.8.8.8
00:00:00.082990 DCon01   NAT: resolv.conf: nameserver 2803:a3e0:a3e0::47
00:00:00.082997 DCon01   NAT: resolv.conf: too many nameserver lines, ignoring 2803:a3e0:a3e0::45
00:00:00.083012 DCon01   HostDnsMonitor: updating information
00:00:00.083027 DCon01   HostDnsMonitor: old information
00:00:00.083032 DCon01     no server entries
00:00:00.083036 DCon01     no domain set
00:00:00.083039 DCon01     no search string entries
00:00:00.083043 DCon01   HostDnsMonitor: new information
00:00:00.083046 DCon01     server 1: 187.86.167.47
00:00:00.083050 DCon01     server 2: 8.8.8.8
00:00:00.083054 DCon01     server 3: 2803:a3e0:a3e0::47
00:00:00.083058 DCon01     domain: WOW
00:00:00.083061 DCon01     search string 1: WOW
00:00:00.090552 DCon01   VD: VDInit finished with VINF_SUCCESS
00:00:00.091652 DCon01   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={925084b0-625f-422f-a67d-0ede1880a56c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.097120 DCon01   Platform architecture set to 'x86'
00:00:00.103371 DCon01   Loading settings file "/home/cl4rksec/VirtualBox VMs/bspwm/bspwm.vbox" with version "1.19-linux"
00:00:00.104727 DCon01   Platform architecture set to 'x86'
00:00:00.106951 DCon01   VirtualBox: object created
00:00:02.093878 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:02.344396 DCon02   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:02.385885 DCon02   Saving settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:02.389991 DCon02   Finished saving settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml"
00:00:06.185478 DCon01   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={925084b0-625f-422f-a67d-0ede1880a56c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:06.887134 DCon01   Saving settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:07.026300 DCon01   Finished saving settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml"
00:00:11.674251 DCon01   Saving settings file "/home/cl4rksec/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
